127.0.0.1 - - [04/Jun/2017:21:51:35 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:38 +0530] "GET /StudentsMeetFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:39 +0530] "GET /StudentsMeetFrontEnd/lib/Angular/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:39 +0530] "GET /StudentsMeetFrontEnd/lib/Angular/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:39 +0530] "GET /StudentsMeetFrontEnd/lib/Angular/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:39 +0530] "GET /StudentsMeetFrontEnd/lib/Angular/angular-messages.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:39 +0530] "GET /StudentsMeetFrontEnd/lib/Angular/angular-resource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:39 +0530] "GET /StudentsMeetFrontEnd/lib/Angular/angular-touch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:39 +0530] "GET /StudentsMeetFrontEnd/js/app.js HTTP/1.1" 200 3871
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:39 +0530] "GET /StudentsMeetFrontEnd/lib/JQuery/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:39 +0530] "GET /StudentsMeetFrontEnd/lib/Bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:39 +0530] "GET /StudentsMeetFrontEnd/lib/Bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:40 +0530] "GET /StudentsMeetFrontEnd/lib/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:40 +0530] "GET /StudentsMeetFrontEnd/lib/js/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:40 +0530] "GET /StudentsMeetFrontEnd/lib/js/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:40 +0530] "GET /StudentsMeetFrontEnd/js/User/UserService.js HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:40 +0530] "GET /StudentsMeetFrontEnd/js/User/UserController.js HTTP/1.1" 200 3830
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:40 +0530] "GET /StudentsMeetFrontEnd/js/Blog/BlogController.js HTTP/1.1" 200 4679
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:40 +0530] "GET /StudentsMeetFrontEnd/js/Blog/BlogService.js HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:40 +0530] "GET /StudentsMeetFrontEnd/js/Forum/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:40 +0530] "GET /StudentsMeetFrontEnd/js/Forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:40 +0530] "GET /StudentsMeetFrontEnd/js/Chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:41 +0530] "GET /StudentsMeetFrontEnd/js/Chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:42 +0530] "GET /StudentsMeetFrontEnd/Common/CommonHome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:42 +0530] "GET /StudentsMeetFrontEnd/Common/CommonHeader.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:42 +0530] "GET /StudentsMeetFrontEnd/Headers/DefaultHeader.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/ HTTP/1.1" 200 2885
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/lib/Angular/angular.js HTTP/1.1" 200 1232632
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/lib/Bootstrap/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/lib/Angular/angular-route.js HTTP/1.1" 200 44402
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/lib/Angular/angular-cookies.js HTTP/1.1" 200 10026
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/lib/Angular/angular-messages.js HTTP/1.1" 200 27865
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/js/app.js HTTP/1.1" 200 3871
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/lib/JQuery/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/lib/Angular/angular-resource.js HTTP/1.1" 200 34547
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/lib/Angular/angular-touch.js HTTP/1.1" 200 26994
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/lib/js/sockjs.js HTTP/1.1" 200 79613
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/lib/Bootstrap/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:52 +0530] "GET /StudentsMeetFrontEnd/lib/js/lodash.js HTTP/1.1" 200 411453
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/Blog/BlogController.js HTTP/1.1" 200 4679
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/User/UserController.js HTTP/1.1" 200 3830
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/Blog/BlogService.js HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/Chat/ChatController.js HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/Chat/ChatService.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/Forum/ForumController.js HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/Forum/ForumService.js HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:51:53 +0530] "GET /StudentsMeetFrontEnd/js/User/UserService.js HTTP/1.1" 200 1802
